y
1
0
0
0
0
0
0
0
0
0
0
0
0
0
5
1
1
3
0
8
6
4
6
3
1
7
5
0
0
0
0
0
10
19
11
10
4
15
17
9
5
23
15
11
12
12
9
4
16
3
21
3
25
8
15
10
11
10
9
8
2
2
6
5
3
1
0
3
9
5
7
15
3
10
7
15
25
7
15
14
6
15
3
19
23
14
20
20
32
41
44
44
38
76
29
54
46
38
35
50
47
54
47
46
61
66
27
55
48
46
22
49
53
63
28
51
24
29
46
33
25
21
23
39
22
17
25
42
29
57
48
35
