MentionIdentifier,MonthYear
http://www.breitbart.com/national-security/2015/03/02/pakistan-arrests-parents-refusing-polio-vaccines-for-their-kids/,201503
http://www.breitbart.com/california/2015/03/06/measles-chiropractors-lobby-against-pro-vaccine-bill/,201503
http://www.breitbart.com/texas/2015/03/28/a-glut-of-texas-pro-vax-bills-threaten-vaccination-exemptions/,201503
http://www.breitbart.com/california/2015/03/10/personal-belief-only-2-54-of-california-kindergarten-vaccination-exemptions/,201503
http://www.breitbart.com/national-security/2015/03/02/pakistan-arrests-parents-refusing-polio-vaccines-for-their-kids/,201503
http://www.breitbart.com/national-security/2015/03/02/pakistan-arrests-parents-refusing-polio-vaccines-for-their-kids/,201503
http://www.breitbart.com/california/2015/03/10/personal-belief-only-2-54-of-california-kindergarten-vaccination-exemptions/,201503
http://www.breitbart.com/texas/2015/03/28/a-glut-of-texas-pro-vax-bills-threaten-vaccination-exemptions/,201503
http://www.breitbart.com/california/2015/03/06/measles-chiropractors-lobby-against-pro-vaccine-bill/,201503
http://www.breitbart.com/big-hollywood/2015/04/14/kristen-bell-unacceptable-that-anti-vaccination-parents-put-other-children-at-risk/,201504
http://www.breitbart.com/big-hollywood/2015/04/14/kristen-bell-unacceptable-that-anti-vaccination-parents-put-other-children-at-risk/,201504
http://www.breitbart.com/big-hollywood/2015/04/14/kristen-bell-unacceptable-that-anti-vaccination-parents-put-other-children-at-risk/,201504
http://www.breitbart.com/big-government/2015/04/14/rfk-jr-apologizes-for-likening-mandatory-vaccinations-to-holocaust/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/california/2015/04/06/vaccine-exemption-ban-faces-legislative-test-in-california-this-week/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/big-hollywood/2015/04/14/kristen-bell-unacceptable-that-anti-vaccination-parents-put-other-children-at-risk/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/big-government/2015/04/17/vaccine-vote-delayed-in-sacramento/,201504
http://www.breitbart.com/california/2015/04/18/state-sen-pan-defends-bill-eliminating-vaccination-exemptions/,201504
http://www.breitbart.com/big-government/2015/04/14/rfk-jr-apologizes-for-likening-mandatory-vaccinations-to-holocaust/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/big-government/2015/04/14/rfk-jr-apologizes-for-likening-mandatory-vaccinations-to-holocaust/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/06/vaccine-exemption-ban-faces-legislative-test-in-california-this-week/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/big-government/2015/04/14/rfk-jr-apologizes-for-likening-mandatory-vaccinations-to-holocaust/,201504
http://www.breitbart.com/california/2015/04/14/vaccine-bill-opponents-well-pull-our-kids-out-of-school/,201504
http://www.breitbart.com/big-government/2015/04/30/mandatory-vaccine-bill-clears-another-hurdle-in-ca/,201504
http://www.breitbart.com/california/2015/04/14/vaccine-bill-opponents-well-pull-our-kids-out-of-school/,201504
http://www.breitbart.com/big-hollywood/2015/04/14/kristen-bell-unacceptable-that-anti-vaccination-parents-put-other-children-at-risk/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/18/state-sen-pan-defends-bill-eliminating-vaccination-exemptions/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/big-government/2015/04/26/aclu-fights-democrat-vaccine-mandate-bill-in-california/,201504
http://www.breitbart.com/california/2015/04/18/state-sen-pan-defends-bill-eliminating-vaccination-exemptions/,201504
http://www.breitbart.com/california/2015/04/06/vaccine-exemption-ban-faces-legislative-test-in-california-this-week/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/23/bill-ending-religious-vaccine-exemptions-advances-in-california-senate/,201504
http://www.breitbart.com/california/2015/04/14/vaccine-bill-opponents-well-pull-our-kids-out-of-school/,201504
http://www.breitbart.com/california/2015/04/14/vaccine-bill-opponents-well-pull-our-kids-out-of-school/,201504
http://www.breitbart.com/california/2015/05/16/jenna-elfman-joins-parents-against-mandatory-vaccination-bill-at-dem-convention/,201505
http://www.breitbart.com/california/2015/05/29/democrats-accused-of-retaliation-against-vaccine-bill-critics/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/california/2015/05/09/study-mmr-vaccine-doesnt-cause-autism/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/california/2015/05/09/study-mmr-vaccine-doesnt-cause-autism/,201505
http://www.breitbart.com/california/2015/05/09/study-mmr-vaccine-doesnt-cause-autism/,201505
http://www.breitbart.com/california/2015/05/29/democrats-accused-of-retaliation-against-vaccine-bill-critics/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/california/2015/05/16/jenna-elfman-joins-parents-against-mandatory-vaccination-bill-at-dem-convention/,201505
http://www.breitbart.com/california/2015/05/21/vaccine-advocates-accuse-anti-vaxxers-of-stalking-them/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/california/2015/05/16/jenna-elfman-joins-parents-against-mandatory-vaccination-bill-at-dem-convention/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/california/2015/05/10/mandatory-vaccination-bill-watered-down-to-appease-protesting-parents/,201505
http://www.breitbart.com/california/2015/05/16/jenna-elfman-joins-parents-against-mandatory-vaccination-bill-at-dem-convention/,201505
http://www.breitbart.com/california/2015/05/09/study-mmr-vaccine-doesnt-cause-autism/,201505
http://www.breitbart.com/california/2015/05/16/jenna-elfman-joins-parents-against-mandatory-vaccination-bill-at-dem-convention/,201505
http://www.breitbart.com/california/2015/05/09/study-mmr-vaccine-doesnt-cause-autism/,201505
http://www.breitbart.com/california/2015/05/21/vaccine-advocates-accuse-anti-vaxxers-of-stalking-them/,201505
http://www.breitbart.com/california/2015/05/21/vaccine-advocates-accuse-anti-vaxxers-of-stalking-them/,201505
http://www.breitbart.com/california/2015/05/21/vaccine-advocates-accuse-anti-vaxxers-of-stalking-them/,201505
http://www.breitbart.com/california/2015/05/16/jenna-elfman-joins-parents-against-mandatory-vaccination-bill-at-dem-convention/,201505
http://www.breitbart.com/big-government/2015/05/15/ca-senate-approves-vaccine-bill-ahead-of-saturday-protest/,201505
http://www.breitbart.com/california/2015/05/09/study-mmr-vaccine-doesnt-cause-autism/,201505
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/09/hundreds-gather-in-sacramento-to-protest-vaccine-bill/,201506
http://www.breitbart.com/national-security/2015/06/16/sierra-leone-polio-measles-panic-as-mothers-refuse-vaccinations-for-fear-of-ebola/,201506
http://www.breitbart.com/national-security/2015/06/16/sierra-leone-polio-measles-panic-as-mothers-refuse-vaccinations-for-fear-of-ebola/,201506
http://www.breitbart.com/california/2015/06/25/vaccine-mandate-sb-277-passes-california-assembly/,201506
http://www.breitbart.com/california/2015/06/10/vaccine-bill-passes-assembly-committee-despite-red-sea-of-opposition/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/10/vaccine-bill-passes-assembly-committee-despite-red-sea-of-opposition/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
http://www.breitbart.com/california/2015/06/08/donnelly-joins-bus-brigade-against-vaccine-mandate-bill/,201506
