NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type
202,33.6,73.0667,20091102,"Rawalpindi, Punjab, Pakistan",4
215,34.5167,69.1833,20091102,"Kabul, Kabol, Afghanistan",4
269,34.5167,69.1833,20091105,"Kabul, Kabol, Afghanistan",4
232,34.5167,69.1833,20091105,"Kabul, Kabol, Afghanistan",4
224,60.0,-95.0,20091106,Canada,1
279,34.5167,69.1833,20091107,"Kabul, Kabol, Afghanistan",4
297,3.25,73.0,20091109,Maldives,1
744,54.0,-2.0,20091118,United Kingdom,1
210,51.5,-0.116667,20091118,"London, London, City of, United Kingdom",4
217,34.5167,69.1833,20091121,"Kabul, Kabol, Afghanistan",4
288,34.5167,69.1833,20091122,"Kabul, Kabol, Afghanistan",4
212,55.6667,12.5833,20091128,"Copenhagen, Køavn*, Denmark",4
202,35.75,51.5148,20091130,"Tehran, Tehran, Iran",4
233,38.899,-77.0422,20091202,"World Bank, District of Columbia, United States",3
379,33.3386,44.3939,20091208,"Baghdad, Baghdad, Iraq",4
240,55.6667,12.5833,20091208,"Copenhagen, Køavn*, Denmark",4
230,55.6667,12.5833,20091209,"Copenhagen, Køavn*, Denmark",4
206,55.6667,12.5833,20091210,"Copenhagen, Køavn*, Denmark",4
234,33.0,65.0,20091210,Afghanistan,1
206,55.6667,12.5833,20091210,"Copenhagen, Køavn*, Denmark",4
208,15.5881,32.5342,20091213,"Khartoum, Al Khartum, Sudan",4
427,39.0194,125.755,20091213,"Pyongyang, P'yongyang-si, North Korea",4
252,-1.0,15.0,20091214,Congo,1
316,11.55,104.917,20091219,"Phnom Penh, (CB11), Cambodia",4
323,11.55,104.917,20091219,"Phnom Penh, (CB11), Cambodia",4
216,35.75,51.5148,20091222,"Tehran, Tehran, Iran",4
274,-10.0,-55.0,20100114,Brazil,1
271,19.0,-72.4167,20100114,Haiti,1
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
240,19.0,-70.6667,20100117,Dominican Republic,1
272,18.5392,-72.335,20100117,"Port-Au-Prince, Ouest, Haiti",4
221,18.5392,-72.335,20100118,"Port-Au-Prince, Ouest, Haiti",4
243,18.5392,-72.335,20100119,"Port Au Prince, Ouest, Haiti",4
211,18.5392,-72.335,20100123,"Port-Au-Prince, Ouest, Haiti",4
245,18.5392,-72.335,20100123,"Port-Au-Prince, Ouest, Haiti",4
528,18.5392,-72.335,20100124,"Port-Au-Prince, Ouest, Haiti",4
244,18.5392,-72.335,20100128,"Port-Au-Prince, Ouest, Haiti",4
585,35.0,33.0,20100202,Cyprus,1
305,42.5833,21.0,20100325,Kosovo,1
558,43.75,20.75,20100326,Serbia,1
389,42.5833,21.0,20100326,Kosovo,1
246,43.75,20.75,20100326,Serbia,1
387,42.5833,21.0,20100330,Kosovo,1
431,42.5833,21.0,20100331,Kosovo,1
617,38.8951,-77.0364,20100401,"Washington, District of Columbia, United States",3
382,42.5833,21.0,20100401,Kosovo,1
939,42.5833,21.0,20100406,Kosovo,1
416,42.5833,21.0,20100406,Kosovo,1
626,42.5833,21.0,20100407,Kosovo,1
277,42.5833,21.0,20100407,Kosovo,1
598,42.5833,21.0,20100408,Kosovo,1
265,42.5833,21.0,20100408,Kosovo,1
287,42.5833,21.0,20100410,Kosovo,1
207,8.5,-11.5,20100415,Sierra Leone,1
342,42.8731,74.6003,20100615,"Bishkek, Bishkek, Kyrgyzstan",4
353,42.8731,74.6003,20100615,"Bishkek, Bishkek, Kyrgyzstan",4
226,23.7231,90.4086,20100620,"Dhaka, Dhaka, Bangladesh",4
294,34.5167,69.1833,20100629,"Kabul, Kabol, Afghanistan",4
612,34.5167,69.1833,20100630,"Kabul, Kabol, Afghanistan",4
494,34.5167,69.1833,20100630,"Kabul, Kabol, Afghanistan",4
477,48.2,16.3667,20100710,"Vienna, Wien, Austria",4
240,39.0194,125.755,20100712,"Pyongyang, P'yongyang-si, North Korea",4
1012,38.0,-97.0,20100802,United States,1
1042,38.0,-97.0,20100802,United States,1
1042,38.0,-97.0,20100802,United States,1
209,33.8333,35.8333,20100803,Lebanon,1
216,33.8333,35.8333,20100803,Lebanon,1
235,34.4,132.45,20100805,"Hiroshima, Hiroshima, Japan",4
283,35.3803,72.1751,20100806,"Swat, North-West Frontier, Pakistan",4
534,38.8951,-77.0364,20100806,"Washington, District of Columbia, United States",3
263,34.4,132.45,20100806,"Hiroshima, Hiroshima, Japan",4
498,38.0,-97.0,20100807,United States,1
297,40.6689,129.19,20100809,"Songjin, Hamgyong-bukto, North Korea",4
212,34.5167,69.1833,20100810,"Kabul, Kabol, Afghanistan",4
292,34.5167,69.1833,20100810,"Kabul, Kabol, Afghanistan",4
248,34.5167,69.1833,20100810,"Kabul, Kabol, Afghanistan",4
405,30.0,70.0,20100811,Pakistan,1
388,31.7667,35.2333,20100811,"Jerusalem, Israel (general), Israel",4
274,37.9833,23.7333,20100816,"Athens, AttikíR, Greece",4
353,39.0194,125.755,20100819,"Pyongyang, P'yongyang-si, North Korea",4
216,60.0,100.0,20100819,Russia,1
297,60.0,100.0,20100820,Russia,1
231,60.0,100.0,20100820,Russia,1
450,33.7,73.1667,20100820,"Islamabad, Islamabad, Pakistan",4
297,60.0,100.0,20100820,Russia,1
243,33.7,73.1667,20100820,"Islamabad, Islamabad, Pakistan",4
1470,38.0,-97.0,20100821,United States,1
291,34.0078,71.5733,20100821,"Peshawar, North-West Frontier, Pakistan",4
255,27.7052,68.8574,20100821,"Sukkur, Sindh, Pakistan",4
270,35.75,51.5148,20100821,"Tehran, Tehran, Iran",4
1121,20.0,65.0,20100821,"Arabian Sea, India (general), India",4
203,-2.0,30.0,20100902,Rwanda,1
608,35.75,51.5148,20100902,"Tehran, Tehran, Iran",4
695,35.685,139.751,20100903,"Tokyo, Tokyo, Japan",4
270,-2.0,30.0,20100904,Rwanda,1
351,8.0,38.0,20100904,Ethiopia,1
360,-25.9653,32.5892,20100904,"Maputo, Maputo, Mozambique",4
234,42.1497,-74.9384,20100904,"New York, United States",2
360,-25.9653,32.5892,20100904,"Maputo, Maputo, Mozambique",4
